uid,time,page
44,47,page1
44,54,page68
83,21,page1
70,111,page40
81,37,page1
9,35,page70
9,38,page83
49,29,page1
49,36,page15
49,45,page66
32,31,page1
32,34,page24
32,62,page56
32,62,page1
32,67,page54
17,79,page1
42,58,page1
1,65,page1
35,11,page1
35,11,page92
35,23,page54
42,142,page1
42,146,page7
42,158,page4
42,166,page53
42,192,page100
79,18,page50
94,0,page1
94,16,page35
94,26,page99
94,35,page22
94,53,page11
59,29,page95
59,43,page83
59,60,page21
59,74,page28
58,65,page1
43,11,page1
43,11,page81
0,38,page1
0,66,page57
77,30,page1
77,32,page4
77,40,page41
77,48,page96
77,51,page53
77,54,page5
77,175,page1
16,24,page1
25,80,page1
61,83,page1
32,188,page1
31,13,page1
24,79,page1
24,101,page41
44,179,page1
44,194,page83
44,200,page77
44,229,page87
87,43,page1
84,10,page1
28,2,page1
28,25,page90
51,46,page1
29,67,page1
9,111,page1
3,55,page4
39,63,page45
39,64,page89
36,0,page1
36,21,page70
36,29,page63
36,45,page82
36,53,page92
36,69,page37
67,35,page1
67,53,page34
67,73,page94
67,78,page70
39,214,page1
39,221,page71
39,232,page93
39,241,page50
28,130,page1
28,146,page87
28,170,page95
28,173,page64
28,197,page9
32,335,page1
87,56,page1
87,56,page56
87,56,page26
28,220,page23
28,228,page8
0,202,page1
11,4,page1
11,31,page50
11,40,page100
11,59,page35
58,236,page1
58,259,page46
58,269,page71
48,94,page1
48,122,page27
48,139,page59
44,242,page1
39,377,page1
7,80,page1
66,151,page1
23,24,page1
23,47,page50
57,23,page1
57,46,page54
57,68,page87
9,293,page1
9,310,page37
9,320,page4
9,324,page21
9,340,page81
94,144,page1
94,153,page71
94,165,page84
94,167,page75
94,170,page44
94,171,page59
94,178,page1
40,60,page1
40,60,page27
51,227,page1
51,256,page8
84,145,page1
83,21,page1
83,28,page1
92,8,page1
92,14,page52
74,124,page84
74,125,page71
50,45,page1
93,92,page1
93,112,page67
79,145,page1
62,4,page1
98,35,page1
26,22,page1
26,41,page91
46,80,page1
0,340,page1
94,184,page1
30,15,page1
92,79,page1
92,93,page93
91,167,page1
91,196,page47
91,208,page34
91,210,page81
10,90,page1
65,64,page1
34,79,page1
43,99,page1
43,127,page7
43,129,page7
69,73,page1
31,94,page1
31,119,page9
45,86,page1
37,1,page1
12,90,page1
78,62,page1
45,219,page1
45,237,page11
91,299,page1
91,325,page70
91,330,page18
3,124,page1
3,141,page59
24,262,page1
24,279,page79
53,89,page1
53,101,page30
46,198,page1
46,226,page88
46,333,page1
64,76,page1
64,83,page5
64,95,page49
48,255,page50
48,258,page30
48,281,page66
48,291,page81
48,317,page29
52,48,page1
90,68,page1
97,37,page1
97,63,page34
97,81,page90
18,25,page1
28,380,page1
28,399,page45
0,478,page1
91,429,page1
19,34,page1
19,45,page21
0,587,page1
0,602,page13
33,23,page1
38,1,page1
6,105,page1
6,123,page86
6,125,page52
72,5,page1
72,20,page44
18,114,page1
85,6,page1
26,199,page1
37,60,page81
37,86,page30
22,19,page1
22,23,page84
7,275,page88
7,278,page62
7,298,page74
7,322,page57
7,343,page18
9,532,page1
78,223,page1
78,246,page72
22,121,page1
80,27,page1
80,50,page12
30,105,page1
81,399,page1
81,403,page38
13,19,page1
13,24,page82
13,53,page2
80,218,page1
80,238,page5
80,266,page87
93,281,page1
93,289,page52
93,303,page95
29,132,page1
0,689,page1
79,246,page1
79,262,page81
19,67,page1
19,90,page8
19,105,page72
2,8,page1
38,167,page1
59,238,page1
38,350,page80
38,373,page10
38,397,page50
38,400,page84
38,426,page82
47,98,page1
47,124,page43
17,203,page86
17,218,page69
17,220,page12
17,236,page20
17,237,page26
89,94,page1
89,117,page17
89,131,page91
89,156,page6
15,78,page1
15,97,page8
51,413,page1
51,416,page12
93,405,page1
93,417,page90
93,424,page38
11,75,page1
63,59,page1
63,87,page54
63,111,page86
8,82,page1
51,497,page1
51,518,page89
78,357,page1
11,165,page1
11,166,page17
11,167,page34
40,132,page1
40,155,page33
40,177,page32
40,192,page32
40,211,page16
12,263,page1
12,269,page81
94,397,page2
94,415,page83
22,136,page1
27,88,page1
76,13,page1
76,36,page72
91,473,page1
75,77,page1
75,105,page5
75,122,page50
57,124,page67
57,130,page21
57,142,page7
79,336,page1
38,575,page1
32,505,page1
32,530,page42
27,136,page1
27,139,page18
94,444,page1
94,472,page94
51,599,page18
51,625,page22
51,635,page18
51,642,page4
29,327,page1
29,331,page99
29,331,page7
29,354,page38
29,381,page79
95,8,page1
95,25,page59
95,52,page73
7,483,page1
7,512,page76
47,185,page1
47,210,page77
4,57,page38
4,57,page49
4,66,page58
4,82,page98
4,88,page13
4,91,page37
36,99,page1
44,277,page1
44,301,page61
44,330,page68
44,351,page34
44,355,page28
21,39,page1
21,68,page30
16,218,page3
16,225,page77
77,352,page1
77,369,page13
77,373,page2
77,399,page29
77,400,page93
77,417,page48
77,438,page72
9,547,page1
60,59,page30
60,75,page20
12,368,page1
12,371,page21
12,377,page45
40,322,page1
40,344,page52
35,245,page1
88,227,page1
88,234,page78
18,313,page1
32,638,page1
32,658,page17
80,327,page24
80,329,page56
80,352,page82
80,357,page88
97,198,page66
72,134,page1
1,194,page1
77,546,page1
77,565,page44
77,569,page46
77,572,page44
83,202,page1
83,202,page21
83,223,page6
2,207,page1
2,229,page29
2,247,page81
2,268,page15
33,129,page1
19,248,page1
19,264,page98
19,288,page81
58,438,page1
58,451,page18
58,473,page63
58,478,page10
16,284,page1
16,309,page61
81,432,page1
84,328,page1
53,111,page1
53,135,page49
65,168,page1
15,216,page1
15,230,page88
15,249,page30
53,139,page1
53,165,page6
17,433,page1
17,441,page82
31,213,page1
31,213,page100
32,714,page1
32,728,page51
37,206,page1
37,209,page16
93,525,page1
